1,0,1329,318,239,701,0.980376
1,1,1630,377,75,226,0.960604
1,2,360,385,117,298,0.970939
1,3,616,461,63,146,0.827923
1,4,768,427,45,157,0.918885
1,5,593,433,85,176,0.947526
1,6,688,424,77,175,0.925275
1,7,595,246,85,361,0.908594
1,10,1196,411,42,114,0.905992
1,12,1354,402,30,88,0.905159
2,0,1367,315,201,704,0.981338
2,1,1632,376,76,227,0.960798
2,2,358,385,118,298,0.971480
2,3,615,462,65,145,0.856851
2,4,765,425,46,159,0.923852
2,5,594,433,85,176,0.943709
2,6,680,425,80,174,0.921404
2,7,611,432,71,174,0.850922
2,10,1195,411,41,114,0.899976
2,12,1353,402,28,88,0.905519
3,0,1404,313,184,706,0.980316
3,1,1632,376,79,227,0.961532
3,2,356,385,116,298,0.968686
3,3,612,457,67,150,0.844067
3,4,763,430,49,154,0.920680
3,5,592,432,85,200,0.922851
3,6,680,426,75,173,0.926754
3,7,609,433,72,173,0.861632
3,10,1195,412,40,114,0.888271
3,12,1351,401,29,89,0.904603
4,0,1417,313,196,706,0.982977
4,1,1632,377,81,227,0.960360
4,2,355,385,115,298,0.969357
4,3,609,456,68,151,0.887196
4,4,761,430,47,154,0.927079
4,5,565,432,111,220,0.902544
4,6,677,427,73,173,0.921373
4,7,602,433,78,174,0.926319
4,10,1193,413,39,113,0.892290
4,12,1349,402,29,88,0.914243
5,0,1419,313,205,707,0.982592
5,1,1633,377,81,227,0.959866
5,2,354,385,115,298,0.968539
5,3,607,449,69,159,0.901332
5,4,760,433,47,151,0.927074
5,5,562,432,112,220,0.773944
5,6,677,427,70,173,0.930226
5,7,596,433,84,174,0.935262
5,10,1193,412,38,114,0.899544
5,12,1348,401,29,89,0.920633
6,0,1414,314,229,707,0.980366
6,1,1633,378,84,227,0.956753
6,2,354,386,113,298,0.967670
6,3,601,448,75,161,0.917608
6,4,759,425,48,160,0.942000
6,5,564,432,55,220,0.543017
6,6,676,424,67,176,0.935995
6,7,596,433,83,176,0.941898
6,10,1191,414,38,112,0.894433
6,12,1346,402,30,90,0.927077
7,0,1413,317,279,705,0.973177
7,1,1633,379,86,227,0.956144
7,2,353,386,111,298,0.967545
7,3,603,448,71,162,0.920238
7,4,757,427,49,159,0.939785
7,5,572,428,69,182,0.711998
7,6,677,424,60,177,0.947195
7,7,595,433,82,176,0.939103
7,10,1189,414,38,113,0.906024
7,12,1345,403,30,89,0.924007
8,0,1420,319,258,705,0.944678
8,1,1633,380,88,227,0.953391
8,2,352,387,110,298,0.966986
8,3,600,456,73,155,0.882218
8,4,755,423,49,164,0.936404
8,5,566,428,64,182,0.731682
8,6,676,424,57,178,0.946619
8,7,595,415,81,195,0.942731
8,10,1188,414,37,114,0.899391
8,12,1343,404,30,90,0.927155
9,0,1431,323,287,702,0.951026
9,1,1633,381,90,227,0.951605
9,2,351,388,109,298,0.967969
9,3,596,457,75,154,0.848918
9,4,750,423,52,165,0.934142
9,5,540,425,57,181,0.789076
9,6,675,425,55,178,0.936444
9,7,593,416,82,195,0.942763
9,10,1185,413,39,117,0.905351
9,12,1341,405,31,89,0.923053
10,0,1447,326,284,699,0.904636
10,1,1639,382,85,227,0.925924
10,2,350,388,109,299,0.968000
10,3,592,280,80,333,0.904678
10,4,743,422,58,167,0.929254
10,5,535,424,58,174,0.794020
10,6,674,427,54,177,0.913199
10,7,592,414,82,197,0.937641
10,10,1183,413,40,117,0.915497
10,12,1339,407,31,89,0.914609
11,0,1450,326,299,700,0.909219
11,1,1656,376,70,233,0.907527
11,2,350,389,109,299,0.967758
11,3,594,457,72,154,0.699811
11,4,738,423,62,167,0.928127
11,5,532,425,58,169,0.802239
11,6,673,430,54,174,0.898158
11,7,592,415,81,197,0.927343
11,10,1179,413,42,118,0.919131
11,12,1338,407,31,89,0.910885
12,0,1458,327,377,701,0.948104
12,1,1613,358,111,214,0.708044
12,2,349,390,109,299,0.968609
12,3,590,297,82,317,0.793856
12,4,732,425,65,165,0.922746
12,5,529,425,62,200,0.835227
12,6,673,431,51,174,0.917839
12,7,590,413,82,199,0.896942
12,10,1175,414,46,117,0.914347
12,12,1336,408,31,89,0.906625
13,0,1471,325,364,703,0.975696
13,1,1629,358,98,176,0.652600
13,2,348,390,111,299,0.968836
